Year,Leopards Killed by Poachers,Cumulative Total,Tigers Killed by Poachers,Cumulative Total
1994,138,138,95,95
1995,143,281,121,216
1996,110,391,52,268
1997,145,536,88,356
1998,69,605,39,395
1999,135,740,81,476
2000,1278,2018,52,528
2001,167,2185,72,600
2002,89,2274,46,646
2003,148,2422,38,684
2004,123,2545,38,722
2005,200,2745,46,768
2006,165,2910,37,805
2007,126,3036,27,832
2008,157,3193,29,861
2009,165,3358,32,893
2010,184,3542,30,923
2011,188,3730,13,936
2012,140,3870,32,968
2013,111,3981,43,1011
2014,118,4099,23,1034
2015,127,4226,26,1060
2016,154,4380,50,1110
2017,159,4539,38,1148
2018,169,4708,34,1182
2019,133,4841,38,1220
2020,170,5011,31,1251
2021,182,5193,56,1307
2022,162,5355,39,1346
2023,155,5510,56,1402
2024,130,5640,26,1428
